ID,Query,Intent Label,RAG Domain Label
1,elmafroud atmrn kam yum f elesboo3,GENERAL_QA,training_guide
2,as5an ezay abl eltamren?,GENERAL_QA,training_guide
3,tb ezay a5tar elawzan?,GENERAL_QA,training_guide
4,ya3ni eh super set?,GENERAL_QA,training_guide
5,ya3ni eh drop sets?,GENERAL_QA,training_guide
6,eh elpartial reps da?,GENERAL_QA,training_guide
7,cardio?,GENERAL_QA,training_guide
8,arya7 ad eh f elesboo3?,GENERAL_QA,training_guide
9,ana brya7 youmin f elesboo3 w bardo ta3ban da bsbb eh da,GENERAL_QA,both
10,akol ad eh protin f elyum?,GENERAL_QA,nutrition_ebook
11,akol eh mmkn y3ly eltestosterone 3andy?,GENERAL_QA,nutrition_ebook
12,eh elfar2 maben simple carbs w complex,GENERAL_QA,nutrition_ebook
13,fe applications tsa3edny a7seb so3raty?,GENERAL_QA,nutrition_ebook
14,ana hamouuut w akol haga mesakraa,GENERAL_QA,nutrition_ebook
15,ezayak ya basha,CHIT_CHAT,N/A
16,ana zah2an mn eltamrin,CHIT_CHAT,N/A
17,eh el equation bta3et el TDEE?,GENERAL_QA,both
18,ana zah2an mn eldiet,CHIT_CHAT,N/A
19,eh el formula bta3et el max heart rate?,GENERAL_QA,training_guide
20,ezayak ya coach,CHIT_CHAT,N/A
21,sabah el kher,CHIT_CHAT,N/A
22,shokran gedan,CHIT_CHAT,N/A
23,enta meen?,CHIT_CHAT,N/A
24,bt3raf tetkallem 3araby?,CHIT_CHAT,N/A
25,hello,CHIT_CHAT,N/A
26,hi,CHIT_CHAT,N/A
27,thanks for the help,CHIT_CHAT,N/A
28,good morning,CHIT_CHAT,N/A
29,keef el 7al,CHIT_CHAT,N/A
30,saba7 elkhir,CHIT_CHAT,N/A
31,great job,CHIT_CHAT,N/A
32,bye bye,CHIT_CHAT,N/A
33,teslam eedak,CHIT_CHAT,N/A
34,3amel eh el naharda?,CHIT_CHAT,N/A
35,eh afdal wa2t akol fih carbs?,GENERAL_QA,nutrition_ebook
36,el creatin bywa2a3 el sha3r?,GENERAL_QA,nutrition_ebook
37,akol eh abl el tamreen?,GENERAL_QA,nutrition_ebook
38,eh el supplements elly momken a5od-ha?,GENERAL_QA,nutrition_ebook
39,ezay a7seb el calories bta3ty?,GENERAL_QA,nutrition_ebook
40,el whey protein darory wala la?,GENERAL_QA,nutrition_ebook
41,hal el soukar bywa2af el 7ar2?,GENERAL_QA,nutrition_ebook
42,eh badayel el frakh 3shan zah2t?,GENERAL_QA,nutrition_ebook
43,el keto diet helw le el takhsis?,GENERAL_QA,nutrition_ebook
44,ashrab mayya ad eh fel yom?,GENERAL_QA,nutrition_ebook
45,el kaffeine bya3mel dehydration?,GENERAL_QA,nutrition_ebook
46,eh afdal masdar protein nabaty?,GENERAL_QA,nutrition_ebook
47,el intermittent fasting kwayes?,GENERAL_QA,nutrition_ebook
48,akol eh ba3d el tamreen 3ala tool?,GENERAL_QA,nutrition_ebook
49,hal el akl bellil bytzawad el wazn?,GENERAL_QA,nutrition_ebook
50,eh a3rad na2s el vitamin D?,GENERAL_QA,nutrition_ebook
51,el omega 3 mohem le eh?,GENERAL_QA,nutrition_ebook
52,ezay a3mel meal prep le el esboo3?,CHIT_CHAT,N/A
53,eh el akl elly fih fibers keteer?,GENERAL_QA,nutrition_ebook
54,atmaran kam mara fel esboo3?,GENERAL_QA,training_guide
55,eh el far2 ben el compound w isolation exercises?,GENERAL_QA,training_guide
56,el cardio afdal abl wala ba3d el tamreen?,GENERAL_QA,training_guide
57,eh 3elag el shadd el 3adaly?,GENERAL_QA,both
58,ezay a3raf eny batmaran bi shakl sa7?,GENERAL_QA,training_guide
59,eh el rest time ben el sets?,GENERAL_QA,training_guide
